,零件A1,零件A2,零件B1,零件B2,零件C1,零件C2.1,零件C2.2,零件D1.1,零件D1.2,零件E1.1,零件E1.2,零件D2.1,零件D2.2,零件E2.1,零件E2.2,零件F,零件H,零件G,零件I1,零件I2,零件J1,零件J2,零件K1.1,零件K1.2,零件K2.1,零件K2.2,零件K3.1,零件K3.2,零件L1,零件L2,零件M1,零件M2
第1班,0.0,0.0,3300.0,3300.0,0.0,4400.0,4400.0,4980.0,4980.0,4980.0,4980.0,4900.0,4900.0,4760.0,4760.0,0.0,0.0,0.0,0.0,0.0,4560.0,4560.0,4200.0,4200.0,5000.0,5000.0,5000.0,5000.0,0.0,0.0,0.0,0.0
第2班,3000.0,3000.0,4440.0,4440.0,0.0,5000.0,5000.0,4980.0,4980.0,4980.0,4980.0,4900.0,4900.0,4900.0,4900.0,0.0,0.0,0.0,0.0,0.0,4440.0,4440.0,0.0,0.0,0.0,0.0,5000.0,5000.0,0.0,0.0,0.0,3000.0
第3班,3000.0,3000.0,3240.0,3240.0,0.0,5000.0,5000.0,4980.0,4980.0,4980.0,4980.0,4984.0,4984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3750.0,3750.0,0.0,0.0,4500.0,4500.0,3000.0,3000.0,0.0,0.0,0.0,0.0
第4班,3900.0,3900.0,3420.0,3420.0,0.0,5000.0,5000.0,4980.0,4980.0,4140.0,4140.0,4984.0,4984.0,3780.0,3780.0,0.0,0.0,0.0,0.0,0.0,3270.0,3270.0,0.0,0.0,0.0,0.0,3000.0,3000.0,0.0,0.0,0.0,0.0
第5班,4980.0,4980.0,3000.0,3000.0,0.0,5000.0,5000.0,4980.0,4980.0,3720.0,3720.0,4984.0,4984.0,4060.0,4060.0,0.0,0.0,0.0,0.0,0.0,3990.0,3990.0,0.0,0.0,0.0,0.0,3200.0,3200.0,0.0,0.0,0.0,0.0
第6班,4980.0,4980.0,4980.0,4980.0,0.0,5000.0,5000.0,4980.0,4980.0,4680.0,4680.0,4984.0,4984.0,3360.0,3360.0,0.0,0.0,0.0,0.0,3066.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,4800.0,0.0,0.0,0.0,4770.0
第7班,4920.0,4920.0,4140.0,4140.0,0.0,5000.0,5000.0,4980.0,4980.0,3000.0,3000.0,4984.0,4984.0,3080.0,3080.0,0.0,0.0,0.0,0.0,0.0,3270.0,3270.0,0.0,0.0,3100.0,3100.0,0.0,0.0,0.0,0.0,0.0,0.0
第8班,4980.0,4980.0,4800.0,4800.0,0.0,0.0,0.0,4980.0,4980.0,4320.0,4320.0,4984.0,4984.0,3080.0,3080.0,0.0,0.0,0.0,3066.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3700.0,3700.0,3410.0,0.0,4440.0,0.0
第9班,4500.0,4500.0,3180.0,3180.0,0.0,4100.0,4100.0,4320.0,4320.0,0.0,0.0,4620.0,4620.0,3220.0,3220.0,0.0,0.0,0.0,0.0,3010.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,3000.0,3025.0,3025.0,0.0,0.0
第10班,3180.0,3180.0,3000.0,3000.0,4000.0,0.0,0.0,3240.0,3240.0,0.0,0.0,3080.0,3080.0,3024.0,3024.0,4746.0,0.0,3495.0,0.0,0.0,3330.0,3330.0,0.0,0.0,0.0,0.0,0.0,0.0,3465.0,0.0,0.0,0.0
